id,type,date,text
93,message,2017-05-24T23:08:43,"ОЛЕГ ПЕТРЕНКО ОГОЛОСИВ ПРО ВИХІД З ФРАКЦІЇ ПОРОШЕНКА

24 травня в ефірі ток-шоу телеканалу «ZIK» народний депутат України Олег Петренко оголосив про вихід з фракції Порошенка, у разі якщо той не підпише закон про амністію для бійців АТО.
 
Під час ефіру Олег Петренко заявив наступне: «Я насправді не бачу себе членом фракції блоку Петра Порошенка. Бппшника з мене так і не вийшло, я залишився Азовцем. Я їздив по всій країні і зараз у мене мене близько 3 десятків добровольців на поруках. Минулими вихідними активісти їздили до маєтку Порошенка тому, що президент не підписує закон про амністію. Цей закон був Верховною Радою проголосований один раз, потім потрапив на підпис президенту, який дав свої зауваження, повернув Верховній Раді. Верховна Рада вдруге проголосувала за нього у 226 голосів, в прямому сенсі слова тоді доводилося заганяти депутатів заходити в залу. І ось президент, порушуючи всі норми закону, не підписує цей закон. Він не підписується без жодних коментарів. Саме цей момент може бути доленосним в моїй політичний кар'єрі. Я мажоритарщик і свій вибір вже зробив, хоча можу переглянути свою думку, якщо президент раптом підпише закон, хоча у мене все менше і менше надій, що цей крок буде зроблено».

Нагадуємо, що закон №4255 «Про амністію в 2016 році» з окремими пунктами щодо українських солдатів був проголосований Верховною Радою України 22 грудня 2016 року. 24 березня закон підписаний Головою Верховної Ради України та направлений Президенту України. Порошенко порушує визначений Конституцією термін та досі зволікає із підписанням.

;  ;  "
95,message,2017-05-25T14:12:37,"Голова партії Національний Корпус,  Андрій Білецький завітає до Дніпра.
26 травня, Центральна міська бібліотека (вул. Воскресенська, 23). Початок о 16:00.
"
96,message,2017-05-25T14:14:25,"Петренко: я вийду з фракції «БПП», якщо президент не підпише закон про амністію учасників АТО
"
97,message,2017-05-25T14:26:27,"Днями активісти НК Дніпро продовжили прибирати та готувати територію дитячого національно-патріотичного табору «Дніпрянин». 
Контакти табору: 
;  
"
98,message,2017-05-25T17:47:20,"Тернопільські націоналісти відзначили День Героїв велелюдним маршем та відкриттям меморіалу загиблим воїнам України
"
100,message,2017-05-26T10:27:57,"ВЖЕ СЬОГОДНІ! ЗУСТРІЧ З ЛІДЕРОМ. ДНІПРО.

Сьогодні, 26 травня, Лідер Азовського Руху, голова партії Національний Корпус, народний депутат України, перший командир полку АЗОВ Андрій Білецький завітає до Дніпра, де відбудеться його зустріч із мешканцями міста!
"
102,message,2017-05-26T13:29:57,"17-18 травня відбулася ще одна зустріч, спрямована на інтеграцію країн Центральної і Східної Європи. Цього разу у Варшаві зустрілися очільники парламентів низки країн регіону.
"
103,message,2017-05-26T14:34:55,Спеціально для Національного Корпусу 25 травня Сергій Червінський прочитав лекцію «Скіфський воїн». 
104,message,2017-05-26T17:01:10,Голова НК Маріуполь - Антон Требухов став почесним гостем на святі останнього дзвоника в ЗОШ № 20 
106,message,2017-05-26T18:32:21,"АНДРІЙ БІЛЕЦЬКИЙ В ДНІПРІ. ОН-ЛАЙН

Андрій Білецький про політичну та військову ситуацію в країні, її бачення та участь в ній молодого націоналістичного Руху, Дніпро, Центральна міська бібліотека (вул. Воскресенська, 23)

; 

;  ;  ;  "
107,message,2017-05-27T00:29:22,"Сьогодні Лідер Азовського Руху, голова політичної партії «Національний Корпус» Андрій Білецький виступив перед дніпрянами. "
108,message,2017-05-27T12:21:55,"Турнір зі змішаних єдиноборств «Лєв» пам'яті Євгена Липського відбувся у Дніпрі
"
109,message,2017-05-27T13:39:16,"АНДРІЙ БІЛЕЦЬКИЙ ПРО ВЛАДУ ТА КОРУПЦІЮ: ІЗ ЗУСТРІЧІ ЛІДЕРА НК У ДНІПРІ
"
110,message,2017-05-27T14:23:45,"Турнір зі змішаних єдиноборств «ЛЄВ» пам'яті Євгена Липського пройшов у Дніпрі
"
